Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1903,-.23,-.05,-.22,-.40,-.39,-.41,-.35,-.44,-.49,-.48,-.42,-.50,-.37,-.36,-.23,-.34,-.40,-.46
1904,-.63,-.57,-.48,-.50,-.51,-.47,-.51,-.48,-.56,-.39,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.35,-.59,-.21,-.33,-.29,-.27,-.26,-.20,-.19,-.25,-.07,-.13,-.26,-.28,-.42,-.28,-.24,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.29
1907,-.43,-.51,-.27,-.37,-.46,-.41,-.35,-.34,-.35,-.23,-.47,-.46,-.39,-.36,-.36,-.37,-.37,-.35
1908,-.45,-.33,-.55,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.52,-.49,-.43,-.43,-.41,-.46,-.40,-.44
1909,-.72,-.46,-.54,-.59,-.54,-.52,-.45,-.33,-.39,-.40,-.31,-.56,-.48,-.48,-.56,-.56,-.43,-.37
1910,-.42,-.42,-.50,-.42,-.34,-.39,-.35,-.36,-.39,-.41,-.55,-.67,-.43,-.43,-.47,-.42,-.37,-.45
1911,-.62,-.58,-.61,-.53,-.51,-.49,-.41,-.44,-.41,-.27,-.21,-.21,-.44,-.48,-.62,-.55,-.45,-.29
1912,-.25,-.14,-.38,-.18,-.21,-.23,-.42,-.54,-.58,-.58,-.38,-.43,-.36,-.34,-.20,-.26,-.40,-.51
1913,-.40,-.45,-.43,-.39,-.44,-.45,-.36,-.33,-.35,-.32,-.19,-.02,-.35,-.38,-.43,-.42,-.38,-.29
1914,.05,-.10,-.24,-.30,-.22,-.26,-.24,-.16,-.17,-.04,-.15,-.04,-.16,-.15,-.02,-.25,-.22,-.12
1915,-.20,-.04,-.10,.06,-.06,-.22,-.12,-.22,-.21,-.25,-.13,-.21,-.14,-.13,-.09,-.03,-.19,-.20
1916,-.12,-.14,-.28,-.31,-.35,-.49,-.37,-.27,-.36,-.33,-.46,-.82,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.55,-.55,-.44,-.25,-.22,-.23,-.44,-.33,-.68,-.46,-.47,-.67,-.58,-.30,-.34
1918,-.47,-.34,-.25,-.44,-.43,-.36,-.31,-.31,-.18,-.07,-.11,-.29,-.30,-.33,-.50,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.13,-.28,-.36,-.29,-.33,-.26,-.20,-.41,-.42,-.28,-.27,-.24,-.21,-.33,-.29
1920,-.25,-.27,-.12,-.24,-.27,-.36,-.31,-.27,-.22,-.27,-.27,-.47,-.28,-.27,-.31,-.21,-.31,-.25
1921,-.05,-.18,-.24,-.30,-.31,-.28,-.15,-.26,-.19,-.04,-.14,-.18,-.19,-.22,-.23,-.28,-.23,-.12
